"","Trade.Name","City","Reviews","Number_of_Reviews"
"78","119 A R GROCERY","NEW YORK",0,0
"79","11TH AVE FOOD CTR OF NY","BROOKLYN",4.3,7
"80","12 ST GOURMET DELI","LONG ISLAND CITY",0,0
"81","120 CIRCLE DELI GROCERY","BRONX",4.4,13
"82","120 KING PRODUCE","SOUTH RICHMOND HIL",0,0
"83","1201 DELI & GRILL","BROOKLYN",0,0
"84","1208 MARKET & DELI","BROOKLYN",0,0
"85","121 CONVENIENCE DELI","NEW YORK",4,2
"86","121 LENOX GOURMET DELI","NEW YORK",4.7,7
"87","121 NEW YORK DELI GROCE","NEW YORK",4.5,NA
"88","1217 GUZMAN DELI FOOD","BRONX",4,4
"89","122 MEAT MARKET","NEW YORK",0,0
"90","123 FOOD MARKET","PATCHOGUE",3.8,4
"91","123 MEAT FRUIT & VEGETA","BRONX",4.4,135
"92","124 S LEXINGTON AVE","WHITE PLAINS",0,0
"93","124-176 MORRIS GROCERY","BRONX",0,0
"94","1247 DELI","NEWBURGH",4.4,7
"95","125 W 165 ST GROCERY","BRONX",3.8,26
"96","1252 DELI GROCERY","NEW YORK",0,0
"97","125TH ST FOOD MART","NEW YORK",0,0
"98","126 CANDY GROCERY","NEW YORK",0,0
"99","127 EXPRESS STOP","SOUTH RICHMOND HIL",0,0
"100","1271 D & G","BROOKLYN",0,0
"101","1272-1278 ST NICHOLAS A","NEW YORK",0,0
"102","128 M DELI & GROCERY","SOUTH RICHMOND HIL",4,4
"103","128 P&L DELI GROCERY","NEW YORK",3.6,5
"104","128 T EDGECOMBE DELI","NEW YORK",4,35
"105","129 POST GROCERY STORE","NEW YORK",0,0
"106","1294 NOSTRAND FOOD","BROOKLYN",4.4,10
"107","1296 RIVERA GROCERY","BRONX",0,0
"108","13 GOLDEN DELI","STATEN ISLAND",5,NA
"109","13 STAR DELI AND GROCER","BROOKLYN",4,6
"110","1307 CORP","BRONX",0,0
"111","131 MANHATTAN DELI GRCY","BROOKLYN",3.4,22
"112","131-21 STOP ONE DELI&GR","SPRINGFIELD GARDEN",0,0
"113","1310 CARIBBEAN DELI","BROOKLYN",5,2
"114","132 EXPRESS DELI","BROOKLYN",3.9,24
"115","132 NEW DELI & GROCERY","NEW YORK",3,NA
"116","132 VERMILYEA DELI & GR","NEW YORK",0,0
"117","133 FOOD","BROOKLYN",0,0
"118","1334 RICHMOND ROAD","STATEN ISLAND",0,0
"119","1336 ENTERPRISE","WAPPINGERS FALLS",4.2,143
"120","1338 FOOD","NEW YORK",0,0
"121","134TH MEAT MARKET INC T","BRONX",4.6,14
"122","135 EAST 3RD FOOD MART","MOUNT VERNON",0,0
"123","1356 CONVENIENCE","BROOKLYN",5,3
"124","1359 OGDEN GROCERY","BRONX",3,4
"125","135TH ST DELI & GROCERY","NEW YORK",5,NA
"126","136 DELI & GRILL","SPRINGFIELD GARDEN",4.8,20
"127","136 DELI GROCERY","JAMAICA",4.8,20
"128","1364 9W GAS & MART","MARLBORO",4.5,2
"129","139 GOURMET DELI","BRONX",4.4,38
"130","1390 DELI GROCERY","BRONX",5,NA
"131","13TH AVE MINI MART","BROOKLYN",0,0
"132","13TH STREET DELI GROCER","BROOKLYN",0,0
"133","1408 ST NICHOLAS DELI","NEW YORK",3.5,10
"134","141 EXPRESS DELI","STATEN ISLAND",0,0
"135","1416 FAR ROCKAWAY DELI","FAR ROCKAWAY",4,43
"136","142 GROCERY AND TOBACCO","NEW YORK",0,0
"137","142 SUPER DELI","JAMAICA",4.4,11
"138","1436 DELI & GRILL","FAR ROCKAWAY",4,10
"139","144 DELI GROCERY","NEW YORK",4.5,4
"140","144 N & J DELI GROCERY","YONKERS",5,3
"141","1447 NEILSON STREET MAR","UTICA",0,0
"142","145 DELI&GROCERY","NEW YORK",0,0
"143","1454 MC DELI GROCERY","BRONX",0,0
"144","1459 MIA DELI & GROCERY","BRONX",4.3,14
"145","147 FRIENDS GROCERY","BROOKLYN",5,NA
"146","148 DELI GROCERY","NEW YORK",3.4,19
"147","148 FOOD PLAZA","NEW YORK",4.2,5
"148","149 DELI & GROCERY","BRONX",4.3,173
"149","149 GOURMET DELI","NEW YORK",0,0
"150","149 WILLIS","BRONX",0,0
"151","1497 TE AMO CONVENIENCE","BRONX",0,0
"152","14TH STREET CORNER MART","BUFFALO",2.9,31
"153","150 AURORA GROCERY STR","BRONX",4,NA
"154","150 FOOD CENTER","ISLAND PARK",0,0
"155","150 MARKET","NEW YORK",3.4,25
"156","1506 ROCK DELI","BROOKLYN",0,0
"157","1514 SMART GOURMET","NEW YORK",4,2
"158","1517 NEW BANI GROCERY","NEW YORK",3.8,4
"159","1522 CORTELYOU MART","BROOKLYN",0,0
"160","153 DELI GROCERY","BRONX",5,2
"161","153 J AND J FOOD MARKET","NEW YORK",0,0
"162","1532 AMSTERDAM  FOOD","NEW YORK",0,0
"163","1537 FOOD","BRONX",0,0
"164","1538 NEW DELI","BRONX",2,NA
"165","1544 MADISON DELI","NEW YORK",0,0
"166","156 FOOD MARKET","BRONX",0,0
"167","156 GOURMET DELI","BRONX",0,0
"168","157 FOOD MARKET","JAMAICA",0,0
"169","157 GERARD","BRONX",0,0
"170","157 N GOURMET DELI","BRONX",4.1,76
"171","157TH DISCOUNT & VARIET","BRONX",0,0
"172","159 GOURMET DELI GROCER","JAMAICA",0,0
"173","159 RAILROAD MARKET","RIVERHEAD",4,NA
"174","160 GOURMET DELI","JAMAICA",3.9,20
"175","1600 MADISON AVE FOOD","NEW YORK",0,0
"176","1601 AA GROCERY DELI","BRONX",3,3
"177","1605 GROCERY AND DELI M","BRONX",0,0
"178","161 L I AVENUE NY","HOLTSVILLE",4.1,14
"179","161 SHADDAD","BRONX",3,NA
"180","1613 FOOD","NEW YORK",0,0
"181","1614 BROTHER GROCERY","BRONX",5,4
"182","162 GOURMET DELI","NEW YORK",5,3
"183","1621A EL TEPEYAC","NEW YORK",4.5,80
"184","1622 AMSTERDAM DELI&GRY","NEW YORK",0,0
"185","1622 CORTEL YOU SMOKE","BROOKLYN",0,0
"186","163 ASHLEY DELI GROCERY","BRONX",4.1,13
"187","163 KING DELI","BRONX",0,0
"188","1630A NEW YORK GROCERY","NEW YORK",0,0
"189","164 MAIN STREET MARKET","EDWARDS",0,0
"190","164 PRESBYTERIAN ST DEL","NEW YORK",3.8,91
"191","164TH STREET TRADING","FRESH MEADOWS",4.1,7
"192","165 DELI GROCERY","NEW YORK",4.1,14
"193","165 STREET MARKET","BRONX",1,NA
"194","165 W GOURMET DELI","NEW YORK",0,0
"195","165 WOODYCREST GROCERY","BRONX",0,0
"196","1667 GENERAL STORE","ALBANY",0,0
"197","166TH DELI AND GROCERY","BRONX",0,0
"198","167 CANDY","NEW YORK",0,0
"199","1674 DELI & GROCERY","BROOKLYN",4.5,4
"200","169 FRESH FISH MARKET","JAMAICA",0,0
"201","169 GOURMET DELI","BRONX",0,0
"202","16TH AVE FOOD CORNER","BROOKLYN",4.9,75
"203","16TH STREET DELI& GRCRY","NEW YORK",4.3,3
"204","17 GOURMET DELI GRILL","BROOKLYN",0,0
"205","1705 DELI GROCERY","NEW YORK",5,2
"206","170TH ST GROCERY DELI","BRONX",0,0
"207","171 VIP DELI & GROCERY","STATEN ISLAND",3.2,5
"208","171 WEST CORP","BRONX",0,0
"209","171 YONKERS GOURMET DEL","YONKERS",4.4,57
"210","1711 SHOPPING CENTER","BROOKLYN",4.2,NA
"211","172 DELI GROCERY","NEW YORK",0,0
"212","172 MINI MART","JAMAICA",0,0
"213","1721 GROCERY","BELLPORT",5,2
"214","173 HILLSIDE DELI","JAMAICA",3.8,49
"215","173 JR GROCERY","NEW YORK",5,3
"216","1738 FINEST DELI","BRONX",4.6,22
"217","175 PRESBYTERIAN DELI","NEW YORK",4.1,14
"218","178 GOURMET DELI","BRONX",3.4,8
"219","1781 WESTCHESTER GR&CND","BRONX",0,0
"220","1797 DELI GROCERY","BROOKLYN",0,0
"221","17K FOOD MART","MONTGOMERY",0,0
"222","17K MOBIL","NEWBURGH",3.9,63
"223","17TH AVENUE FOOD CENTER","BROOKLYN",0,0
"224","17TH MINI MART","BROOKLYN",5,NA
"225","18 FUEL","BROOKLYN",4.2,142
"226","18 HOUR STORE","ROCHESTER",4.4,15
"227","180 BUS STOP DELI","BRONX",0,0
"228","180 CANDY GROCERY TOBAC","BRONX",0,0
"229","180 EXPRESS DELI","BRONX",3.8,17
"230","180 LA DELI GROCERY","BRONX",0,0
"231","180 PENA GROCERY","BRONX",5,NA
"232","1803 SAN MIGUEL GROCERY","BRONX",3.6,5
"233","1804 GOURMET DELI","STATEN ISLAND",3.8,6
"234","181 GOURMET DELI","NEW YORK",4.4,30
"235","1815 COUSINS DELI-GRCY","SCHENECTADY",4.7,48
"236","181ST CANDY & DELI","BRONX",5,3
"237","182 FRUIT & VEGETABLE","BROOKLYN",5,7
"238","182 WILLIS DELI & GROCE","BRONX",4.7,7
"239","183 GOLD FISH MARKET","BRONX",4.3,57
"240","1836 AMSTERDAM MINIMKT","NEW YORK",0,0
"241","1836 BRIGHT STAR","BRONX",0,0
"242","183RD FOOD CENTER","BRONX",0,0
"243","1849 WESTCHESTER GROCER","BRONX",0,0
"244","186 GROCERY","NEW YORK",4.5,2
"245","188 FINEST DELI","BRONX",0,0
"246","188 PARK DELI GROCERY","BRONX",3.7,9
"247","188 UTICA GROCERY","BROOKLYN",4.6,24
"248","1885 ONE STOP ENTERPRIS","BRONX",0,0
"249","1886 PARK AVE FOOD","NEW YORK",4,NA
"250","1888 WALTON GROCERY","BRONX",4.7,6
"251","18TH AVE SMOKE SHOP DIS","BROOKLYN",3.9,13
"252","18TH AVENUE BAKERY","BROOKLYN",4,35
"253","18TH GOURMET DELI","BROOKLYN",0,0
"254","19 AVENUE D","NEW YORK",0,0
"255","19 STREET QUICK STOP","WATERVLIET",0,0
"256","19 W BRONX DELI GROCERY","BRONX",4.3,87
"257","190 EXPRESS DELI","BUFFALO",4.2,24
"258","1918 GROCERY","BRONX",3.7,6
"259","1919 DELI AND GROCERY","BROOKLYN",0,0
"260","1925 CHURCH AVE","BROOKLYN",0,0
"261","1925 NOSTRAND AND FOSTE","BROOKLYN",4.2,164
"262","1932 GROCERY DELI","NEW YORK",3,2
"263","1933 DELI GROCERY","NEW YORK",4,3
"264","194 DELI AND GROCERY","BROOKLYN",4.7,6
"265","194 MANHATTAN DELI","NEW YORK",0,0
"266","1940S BREWING COMPANY","HOLBROOK",4.7,88
"267","1944 FIRST AVENUE DELI","NEW YORK",4,176
"268","195 JAMAICA DELI GROCER","HOLLIS",0,0
"269","196 STO DOMINGO GROCERY","NEW YORK",4.8,9
"270","1961 FULTON DELI","BROOKLYN",3.8,4
"271","1976 JJ DELI GROCERY 76","BRONX",3.3,3
"272","1978 FIRST AVE NEWS","NEW YORK",0,0
"273","198 DELI & GROCERY","HOLLIS",0,0
"274","1983 GOURMET DELI","NEW YORK",3.7,15
"275","199 LINDEN DELI GROCERY","SAINT ALBANS",3.4,8
"276","19TH AVE DELI & GROCERY","BROOKLYN",0,0
"277","1ST & 96TH MANAGEMENT","NEW YORK",0,0
"278","2 & 5 LINE DELI GROCERY","BRONX",4.5,12
"279","2 DOUGH BOYZ","BROOKLYN",4.1,62
"280","2 KINGS DELI & GROCERY","ASTORIA",4,6
"281","20 EAST STAR DELI GROCE","NEW YORK",0,0
"282","20 N 5TH ST DELI","BROOKLYN",4.1,21
"283","20-20-GOURMET DELI","BRONX",4,NA
"284","20/20 CONVENIENCE STORE","BRONX",0,0
"285","20/20 SUPERMARKET","ARVERNE",3.6,87
"286","200 CANDY STORE","NEW YORK",0,0
"287","200 W 14TH STREET GOURM","NEW YORK",3.8,29
"288","2009 CAROLINA DELI GRCY","WOODSIDE",4.2,5
"289","2013 ABIGAIL DELI GROCE","BRONX",4.4,11
"290","2016 WEST FARMS CONVENI","BRONX",0,0
"291","202 MINI MART&DELI","GARNERVILLE",4,8
"292","202 SERVICE CENTER","CORTLANDT MANOR",3.4,46
"293","2020 HEALTHY DELI","BRONX",4.5,225
"294","2029 DISCOUNT STORE","NEW YORK",1,NA
"295","2031 WEBSTER FOOD","BRONX",3.7,10
"296","2034 APPLE GROCERY & PR","BRONX",4.4,43
"297","2034 BEST GOURMET DELI","NEW YORK",4.1,30
"298","2038 AMSTERDAM GROCERY","NEW YORK",0,0
"299","205-13 HUSAM DELI","HOLLIS",0,0
"300","2053 PITKIN MINIMARKET","BROOKLYN",0,0
"301","206 SAMY GOURMET DELI","BRONX",0,0
"302","207","NEW YORK",0,0
"303","207 FOOD","NEW YORK",0,0
"304","207 TROPICAL SUPERMARKE","NEW YORK",0,0
"305","2071 CLOVE DELI","STATEN ISLAND",4,NA
"306","208 RIVINGTON","NEW YORK",0,0
"307","209 DISCOUNT BEVERAGE","KERHONKSON",4.9,12
"308","20TH AVE MINI MARKET","BROOKLYN",0,0
"309","20TH AVENUE FARMERS MKT","COLLEGE POINT",3,2
"310","210 SUPERMARKET","BRONX",0,0
"311","211 PIT STOP","MIDDLETOWN",0,0
"312","2111 DELI GROCERY","BRONX",5,NA
"313","2122 DELI GROCERY","ASTORIA",1,NA
"314","2137 MOM AND POP CORNER","NEW YORK",0,0
"315","214 BAINBRIDGE DELI GRO","BROOKLYN",4.2,6
"316","2142 A J FOOD","NEW YORK",5,2
"317","215 FANTASTIC DELI","NEW YORK",0,0
"318","215 FINE FOOD DELI","BROOKLYN",3.5,15
"319","2152 RAYS CORNER DELI &","BRONX",4.6,89
"320","2154 3 SISTERS GRCY DEL","NEW YORK",4.2,5
"321","2154 EXPRESS DELI","BROOKLYN",0,0
"322","216 SAL DELI & GROCERY","NEW YORK",3.8,6
"323","217 BAITOA DELI GROCERY","BRONX",4.1,14
"324","218 GOURMET DELI & TOBA","BRONX",0,0
"325","2185 ADAM 99C","NEW YORK",0,0
"326","219 FISH MARKET","BRONX",4.3,54
"327","21ST AVE GRILL & DELI","BROOKLYN",4.4,7
"328","21ST AVENUE PHARMACY &","BROOKLYN",3.3,12
"329","22 CHELSEA FARM","NEW YORK",0,0
"330","22 EXPRESS DELI","MOUNT VERNON",0,0
"331","222 MARKET","NEW YORK",0,0
"332","2227 DELI","BROOKLYN",0,0
"333","2234 EAST SIDE DELI","NEW YORK",5,3
"334","2258 FOOD","NEW YORK",0,0
"335","226 JIMMY DELI GROCERY","STATEN ISLAND",4.9,7
"336","2272 WEBSTER DELI GROCE","BRONX",4.2,23
"337","2278 DELI & GROCERY","NEW YORK",2.5,4
"338","228 MEAT & VEGETABLE","BRONX",0,0
"339","230 UNITED EXPRESS","MOUNT VERNON",0,0
"340","2300 DELI","BRONX",0,0
"341","2304 FORDHAM HILL FOOD","BRONX",5,NA
"342","2313 LA BODEGUITA","NEW YORK",4.3,27
"343","2317 CONEY CONVENIENCE","BROOKLYN",0,0
"344","232 MANGO DELI GROCERY","MOUNT VERNON",3.9,17
"345","234 REINA GAS","PATCHOGUE",0,0
"346","236 COLUMBUS FARM","NEW YORK",3.1,19
"347","2374 KING DELI & GROCER","BRONX",3.8,32
"348","238 WEBSTER FOOD","ROCHESTER",0,0
"349","239 DELI","NEW YORK",0,0
"350","23RD ST GENERAL MKT&DEL","BROOKLYN",0,0
"351","24 HOUR FOOD MART","BRONX",0,0
"352","24 HR ALBANY NEWS","ALBANY",0,0
"353","24 HR MINI MART","STATEN ISLAND",0,0
"354","24 HRS EXPRESS DELI GRY","BROOKLYN",0,0
"355","24 HRS MINIMAKT","BROOKLYN",0,0
"356","24 MINI MARKET FLOWER","BROOKLYN",0,0
"357","24 SEVEN A K STORE","BROOKLYN",0,0
"358","24-SEVEN CONVENIENCE","ROCHESTER",1.8,10
"359","24/7 CONVENIENCE STORE","MEDFORD",0,0
"360","240 VALENTINE DISCOUNT","BRONX",0,0
"361","2408 M & E GROCERY 02/0","BRONX",0,0
"362","241 FOOD MARKET","BRONX",0,0
"363","242 DELI FOOD","BRONX",4.2,96
"364","243 VALENTINE DISCOUNT","BRONX",0,0
"365","2430 DELI & GROCERY","BRONX",4,8
"366","247 E DELI","BRONX",3.3,3
"367","247 SEAFOOD HOUSE","ELMONT",4.2,67
"368","2493 FOOD CENTER","BRONX",4,NA
"369","25/7 EXPRESS SULLIVAN F","BROOKLYN",0,0
"370","250 JB FOOD CENTER","BRONX",0,0
"371","250 WILLIS AVE MT&PRDCE","BRONX",0,0
"372","2502 PLAZA MARKET","LONG ISLAND CITY",2.3,6
"373","251 DELI DELI","NEW YORK",0,0
"374","251 GROCERY & DELI","BRONX",3,2
"375","251 LA BODEGUITA GROCER","NEW YORK",4.8,8
"376","251 SUNSHINE DELI GROCE","BRONX",4.1,23
"377","2520 FOODMART","STATEN ISLAND",0,0
"378","25A GAS PLUS","ROCKY POINT",3,4
"379","261 GROCERY DELI","BROOKLYN",0,0
"380","263 DELI","BRONX",0,0
"381","266 A & F DELI GROCERY","BRONX",0,0
"382","268 RAS GOURMET DELI","BRONX",4.3,6
"383","273 KINGSTON AVE FOOD","BROOKLYN",0,0
"384","2732 CONVENIENCE GROCER","NEW YORK",0,0
"385","274 MINI MARKET","YONKERS",4.3,8
"386","276 EAST FRUIT&GRCY STR","BRONX",0,0
"387","277 DELI GROCERY","RICHMOND HILL",0,0
"388","277 GOURMET DELI & MINI","MOUNT VERNON",4.8,4
"389","277 SUPERMARKET","BROOKLYN",0,0
"390","28 COUNTRY DELI","KINGSTON",4.4,61
"391","2819 CROPSEY BAGELS & D","BROOKLYN",4.4,325
"392","282 AMERICAN DELI","MANHATTAN",4.1,59
"393","29 KINGSLAND DELI GROCE","BROOKLYN",4.1,12
"394","290 MINI DELI","BRONX",0,0
"395","2908 HOT SPOT DELI","BROOKLYN",0,0
"396","2918 GAS CORP","BRONX",0,0
"397","293 BROADWAY DELI&GRCRY","BROOKLYN",4.1,7
"398","2ND AVE FARM","NEW YORK",0,0
"399","2ND AVE FRESH FOOD CORN","NEW YORK",3,3
"400","2ND AVENUE DELI GROCERY","NEW YORK",0,0
"401","2ND GENERATION HOMESTYL","PEEKSKILL",4.5,297
"402","3 BROS DELI & GROCERY","BROOKLYN",4.6,10
"403","3 BROTHERS MARKET","NEWBURGH",0,0
"404","3 HANDS DELI & GRILL I","LAURELTON",4.4,5
"405","3 IN 1 DELI GROCERY","RICHMOND HILL",0,0
"406","3 IN ONE MARKET","BRONX",4.7,10
"407","3 MMM TREE COFFEE DELI","BRONX",5,9
"408","3 STAR DELI GROCERY","NEW YORK",4.8,20
"409","3 STAR GROCERY","CORONA",4,3
"410","301 SOHO GROCERY","NEW YORK",0,0
"411","301 WEST SIDE CORP","NEW YORK",3.8,5
"412","303 BEST FARM MARKET","SPRING VALLEY",0,0
"413","3030 MINI MARKET","BRONX",0,0
"414","3052 VALENTINE GROCERY","BRONX",0,0
"415","308 PATCHEN DELI & GROC","BROOKLYN",0,0
"416","30TH AVE FRUIT MKT","ASTORIA",4.6,21
"417","314 EAST DELI GROCERY","BRONX",4,2
"418","314 SUPER DELI","BRONX",5,2
"419","315 FINEST FOOD & DELI","NEW YORK",0,0
"420","316 FRANKLIN DELI","BROOKLYN",4.1,13
"421","3161 NORWOOD DELI","BRONX",0,0
"422","317 LIBERTY DELI & GROC","NEWBURGH",0,0
"423","3173 GAS","MEDFORD",0,0
"424","31ST AVE DELI & GROCERY","ASTORIA",0,0
"425","322 DEKALB GROCERY","BROOKLYN",2.5,2
"426","322 EAST 34","NEW YORK",0,0
"427","322 VAN BRUNT","BROOKLYN",0,0
"428","3226 EXPRESS DELI","BRONX",0,0
"429","323 GUN HILL DELI","BRONX",2.3,3
"430","325 DREAMLAND","NEW YORK",0,0
"431","332 GROCERY STORE","BRONX",0,0
"432","34-16 UNION ST MARKET","FLUSHING",4.3,7
"433","3401 DELI&GROCERY","BRONX",0,0
"434","3413 BUTCHER SHOP","BRONX",0,0
"435","3460 BOSTON GOURMET DEL","BRONX",4.1,8
"436","347 CHABELY DELI GROCER","BRONX",4.4,18
"437","3473 QUICK STOP","BRONX",4.2,5
"438","348 S&M FOOD","STATEN ISLAND",0,0
"439","3484 BROADWAY MINI MKT","NEW YORK",0,0
"440","3485 DELI GROCERY","BRONX",3.3,3
"441","35 NEW MAIN STREET","HAVERSTRAW",0,0
"442","351 HABIBI DELI GROCERY","BRONX",0,0
"443","352 RIVERDALE FOOD CTR","YONKERS",4.2,72
"444","353 NINOS","BROOKLYN",4.2,5
"445","357 FOOD","BROOKLYN",1,NA
"446","358 FAMOUS DELI","BRONX",4.1,20
"447","3593 KING DELI","BRONX",3.8,32
"448","3596 S M DELI GROCERY","BROOKLYN",5,NA
"449","360 DELI","NEW YORK",4.5,13
"450","3635 SILVER SADDLE DELI","NEW YORK",4.3,3
"451","367 DELI AND GROCERY","BROOKLYN",4.5,13
"452","37 DELI GROCERY 06/01/1","BRONX",0,0
"453","37-63 GROCERY FOOD","JACKSON HEIGHTS",0,0
"454","370 GOURMET DELI","NEW YORK",4.2,32
"455","3722 DELI GROCERY","BRONX",0,0
"456","37TH AVE GROCERY","JACKSON HEIGHTS",0,0
"457","383 CAPELLAN GROCERY","BRONX",0,0
"458","384 LIBERTY","BROOKLYN",0,0
"459","386 FULTON FISH MKT","HEMPSTEAD",0,0
"460","3867 INC","NEW YORK",0,0
"461","387 GOURMET DELI","BROOKLYN",4.2,28
"462","3875 MH DELI GROCERY","NEW YORK",0,0
"463","39 GOURMET DELI&CONV","NEW YORK",3.5,13
"464","39 LOTT GROCERY","BROOKLYN",5,2
"465","390 JACKSON DELI GROCER","BRONX",0,0
"466","3901 FOODMART","BROOKLYN",0,0
"467","3917 J&W MARKET","BROOKLYN",0,0
"468","393 TRIBECA FINEST DELI","NEW YORK",3.7,23
"469","396 DELI GROCERY","BROOKLYN",4.4,11
"470","3RD AVE","BROOKLYN",0,0
"471","3RD AVE DELI AND GRILL","BROOKLYN",0,0
"472","3RD AVE FOOD","NEW YORK",0,0
"473","3RD AVE QUICK STOP","NEW YORK",3.6,7
"474","3RD AVENUE MINI MARKET","BROOKLYN",0,0
"475","3RD RAIL REDEMPTION CEN","BERKSHIRE",0,0
"476","4 BROTHERS FOOD MARKET","NEW YORK",4.4,9
"477","4 CORNER CONVENIENCE","TROY",0,0
"478","4 GOLD STAR GRMT DELI","BROOKLYN",4.6,20
"479","4 SEASON DELI&GROCERY","BROOKLYN",0,0
"480","4 SEASONS FINEST DELI","BROOKLYN",0,0
"481","4 STAR CANDY DELI","BROOKLYN",4,6
"482","4 STAR DELI","TROY",4.2,48
"483","4 WAY DELI","STATEN ISLAND",3.3,3
"484","4-U CONVENIENCE","MEDFORD",4,9
"485","4003 CHURCH FARM MARKET","BROOKLYN",3.8,70
"486","401 EMPIRE GROCERY","BROOKLYN",4.5,700
"487","401 MINI MART","UTICA",0,0
"488","402 FRESH MARKET","STATEN ISLAND",5,NA
"489","406 DELI & GROCERY","STATEN ISLAND",3,NA
"490","40TH ST DELI & GRILL","BROOKLYN",4.3,28
"491","41 FANTASY FOOD CENTER","BRONX",0,0
"492","41 GROCERY DELI & GRILL","BROOKLYN",4,5
"493","42 POST DELI GROCERY","YONKERS",4.2,56
"494","420 RT 376 GAS MART","HOPEWELL JUNCTION",4.1,10
"495","4209 MEAT & PRODUCE","BROOKLYN",0,0
"496","421 GROCERY","RIVERHEAD",4.8,29
