"","Trade.Name","County","Inspection.Grade","Inspection.Date","Owner.Name","Street","City","State.Code","Zip.Code","Deficiency.Number","Deficiency.Description","Location","id"
"19","101 FINEST DELI","New York","A",2018-09-12,"101 FINEST DELI INC","101 W 136TH ST","NEW YORK","NY",10030,"","","101 W 136TH ST
NEW YORK, NY 10030
(40.814809, -73.940429)",12293
"20","101 HALAL DELI & GRILL","Queens","A",2018-10-19,"101 HALAL DELI & GRILL INC","11719 101ST AVENUE","SOUTH RICHMOND HIL","NY",11419,"","","11719 101ST AVENUE
SOUTH RICHMOND HIL, NY 11419
(40.689667, -73.826999)",14471
"21","1010 GOURMET DELI & GRI","Queens","A",2018-07-10,"HATEM NAURADIN","110-28 MERRICK BLVD","JAMAICA","NY",11433,"","","110-28 MERRICK BLVD
JAMAICA, NY 11433
(40.695297, -73.782251)",4240
"22","102 SPRINGFIELD GROCERY","Queens","A",2018-06-28,"102 SPRINGFIELD GROCERY INC","102-15 SPRINGFIELD BLVD","QUEENS VILLAGE","NY",11429,"","","102-15 SPRINGFIELD BLVD
QUEENS VILLAGE, NY 11429
(40.713955, -73.735712)",4031
"23","102-01 LUCKY STAR DELI","Queens","A",2019-03-12,"102-01 LUCKY STAR DELI & GROCERY","102-01 JAMAICA AVENUE","RICHMOND HILL","NY",11418,"","","102-01 JAMAICA AVENUE
RICHMOND HILL, NY 11418
(40.695163, -73.845294)",24400
"24","1029 FOOD PLAZA","Bronx","A",2018-10-25,"1029 FOOD PLAZA INC","122 E 181ST ST","BRONX","NY",10453,"","","122 E 181ST ST
BRONX, NY 10453
(40.855564, -73.905116)",6264
"25","103 FAMILY DELI","New York","A",2018-12-24,"103 FAMILY DELI INC","2006 2ND AVENUE","NEW YORK","NY",10029,"","","2006 2ND AVENUE
NEW YORK, NY 10029
(40.788982, -73.943635)",12928
"26","103 MANHATTAN AVE GROC","New York","A",2018-06-14,"103 MANHATTAN AVE GROCERY CORP","62 MANHATTAN AVE","NEW YORK","NY",10025,"","","62 MANHATTAN AVE
NEW YORK, NY 10025
(40.796611, -73.962961)",13603
"27","10325 STOP 1 DELI","Queens","A",2018-04-03,"10325 STOP 1 DELI INC","103-25 ROCKAWAY BLVD","SOUTH OZONE PARK","NY",11417,"","","103-25 ROCKAWAY BLVD
SOUTH OZONE PARK, NY 11417
(40.679392, -73.836077)",3363
"28","104 BROADWAY FARMS","New York","A",2018-10-02,"104 BROADWAY FARMS INC","2717 BROADWAY","NEW YORK","NY",10025,"","","2717 BROADWAY
NEW YORK, NY 10025
(40.799742, -73.968329)",13209
"29","104 GOURMET DELI","Queens","A",2018-12-12,"104 GOURMET DELI CORP","9501 104TH STREET","OZONE PARK","NY",11416,"","","9501 104TH STREET
OZONE PARK, NY 11416
(40.688993, -73.840411)",15266
"30","104 STORE","Wayne","A",2018-05-14,"JW 104 INC","13824 RT 370 #","RED CREEK","NY",13143,"","","13824 RT 370 #
RED CREEK, NY 13143
(43.23084, -76.730664)",5579
"31","105 DELI & GRILL","New York","A",2018-06-25,"105 DELI & GRILL INC","922 AMSTERDAM AVE","NEW YORK","NY",10025,"","","922 AMSTERDAM AVE
NEW YORK, NY 10025
(40.79993, -73.966093)",12064
"32","106 CANDY & CONVENIENCE","New York","A",2019-01-16,"106 CANDY & CONVENIENCE CORP","232 E 106TH STREET","NEW YORK","NY",10029,"","","232 E 106TH STREET
NEW YORK, NY 10029
(40.791007, -73.94335)",12027
"33","106 FAMILY DELI & GROCE","New York","A",2018-06-18,"106 FAMILY DELI & GROCERY INC","318 E 106TH ST","NEW YORK","NY",10029,"","","318 E 106TH ST
NEW YORK, NY 10029
(40.79017, -73.941363)",13223
"34","106 FRANKLIN DELI & GRO","New York","C",2018-11-09,"106 FRANKLIN DELI & GROCERY INC","346 E 106TH STREET","NEW YORK","NY",10029,"04F","- 2-4   live cockroaches are present in crevices of the cappuccino machine in the retail area.","346 E 106TH STREET
NEW YORK, NY 10029
(40.789853, -73.940605)",2147
"35","1066 RUTLAND DELI","Kings","C",2019-03-08,"1066 RUTLAND DELI CORP","1066 RUTLAND ROAD","BROOKLYN","NY",11212,"04F","- 20-50 fresh and old appearing rat droppings were noted on the floor behind beverage refrigerator in the retail area.","1066 RUTLAND ROAD
BROOKLYN, NY 11212
(40.663798, -73.924651)",27861
"36","1068 MINI MART DELI GRO","Kings","C",2018-06-06,"1068 MINI MART DELI GROCERY CORP","1068 MANHATTAN AVE","BROOKLYN","NY",11222,"04A","Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1068 MANHATTAN AVE
BROOKLYN, NY 11222
(40.735288, -73.955098)",8513
"37","107 DELI & GRILL","New York","A",2018-10-04,"107 DELI & GRILL INC","963 AMSTERDAM AVE","NEW YORK","NY",10025,"","","963 AMSTERDAM AVE
NEW YORK, NY 10025
(40.801268, -73.965114)",12945
"38","107 DELI GROCERY","Queens","A",2018-04-25,"107 DELI GROCERY CORP","107-05 JAMAICA AVE","RICHMOND HILL","NY",11418,"","","107-05 JAMAICA AVE
RICHMOND HILL, NY 11418
(40.6954, -73.84026)",3378
"39","107 GROCERY","Queens","C",2018-09-19,"107 GROCERY INC","107-01 37TH AVENUE","CORONA","NY",11368,"03D","-  Handwash sink in the fruits preparation is not being used. Sink is soiled with old food and cluttered with a cooler. Employee washes hands in a bucket of water. Water is soiled. Water discarded and sink cleaned during inspection.","107-01 37TH AVENUE
CORONA, NY 11368
(40.753924, -73.86105)",27616
"40","107 GROCERY DELI","Queens","A",2019-02-12,"107 GROCERY DELI CORP","107-01 37TH AVENUE","CORONA","NY",11368,"","","107-01 37TH AVENUE
CORONA, NY 11368
(40.753924, -73.86105)",3723
"41","10753 MERRICK DELI GROC","Queens","A",2018-07-11,"10753 MERRICK DELI GROCERY CORP","10753 MERRICK BLVD","JAMAICA","NY",11433,"","","10753 MERRICK BLVD
JAMAICA, NY 11433
(40.69886, -73.78736)",14926
"42","1078 DELI GROCERY","Bronx","A",2018-08-22,"1078 DELI GROCERY CORP","1078 EAST 165TH STREET","BRONX","NY",10459,"","","1078 EAST 165TH STREET
BRONX, NY 10459
(40.825105, -73.890589)",4936
"43","108 DELI & GROCERY","Queens","A",2019-03-01,"108 DELI & GROCERY INC","53-14 108TH STREET","CORONA","NY",11368,"","","53-14 108TH STREET
CORONA, NY 11368
(40.742331, -73.854438)",1
"44","108 NINOS","Queens","A",2018-12-10,"108 NINOS CORP","53-09 108TH ST","CORONA","NY",11368,"","","53-09 108TH ST
CORONA, NY 11368
(40.742627, -73.854592)",3986
"45","1081 PIZZA & DELI","Bronx","C",2019-02-07,"1081 PIZZA & DELI CORP","1081 SOUTHERN BLVD","BRONX","NY",10459,"03D","- Hand wash sink in toilet room is not operational. Sink is noted to be broken as follows: water from sink leaks onto the floor. Next available sink is in the deli food processing area, and operator has to go through bathroom door to access it. Management instructed to fix the sink.","1081 SOUTHERN BLVD
BRONX, NY 10459
(40.825488, -73.89201)",1020
"46","1086 LUNA DELI GROCERY","Bronx","A",2018-08-02,"1086 LUNA DELI GROCERY CORP","1086 BOSTON ROAD","BRONX","NY",10456,"","","1086 BOSTON ROAD
BRONX, NY 10456
(40.827096, -73.905123)",5860
"47","108TH STREET GROCERY","Queens","C",2019-01-14,"108 STREET GROCERY CORP","57-18 108TH STREET","CORONA","NY",11368,"04F","- 15-25 fresh and old appearing intermingled mouse droppings are present on floor perimeters under the sink and food preparation table in the deli area, and on floor perimeters under the coffee preparation area in the retail area. 

 - 15-25 fresh and old appearing intermingled mouse droppings are present on deli storage shelves in the deli area and retail display shelves in the retail area.","57-18 108TH STREET
CORONA, NY 11368
(40.739655, -73.853072)",26281
"48","109 AJ DELI GROCERY","Bronx","A",2018-09-06,"109 AJ DELI GROCERY CORP","109 E TREMONT AVE","BRONX","NY",10453,"","","109 E TREMONT AVE
BRONX, NY 10453
(40.850537, -73.907137)",5475
"49","109 DAY & NIGHT GROCERY","Queens","A",2018-07-09,"109 DAY & NIGHT GROCERY CORP","108-20 JAMAICA AVE","RICHMOND HILL","NY",11418,"","","108-20 JAMAICA AVE
RICHMOND HILL, NY 11418
(40.695774, -73.83895)",3445
"50","109 FISH MARKET","Nassau","A",2019-02-20,"109 FISH MARKET CORP","445 S FRANKLIN ST","HEMPSTEAD","NY",11550,"","","445 S FRANKLIN ST
HEMPSTEAD, NY 11550
(40.692091, -73.622051)",27246
"51","1099 HORSEBLOCK PETROLE","Suffolk","A",2018-08-08,"1099 HORSEBLOCK PETROLEUM LLC","1099 HORSEBLOCK RD","FARMINGVILLE","NY",11738,"","","1099 HORSEBLOCK RD
FARMINGVILLE, NY 11738
(40.829394, -73.014299)",16461
"52","10TH AVE PETROLEUM","New York","A",2018-12-04,"10TH AVE PETROLEUM LLC","466 10TH AVE","NEW YORK","NY",10018,"","","466 10TH AVE
NEW YORK, NY 10018
(40.756058, -73.998091)",12427
"53","11 SEVEN FOOD MART","Kings","A",2018-04-02,"ELEVEN 7 FOOD MART INC","560 CONEY ISLAND AVE","BROOKLYN","NY",11218,"","","560 CONEY ISLAND AVE
BROOKLYN, NY 11218
(40.643698, -73.970137)",9549
"54","11-7 DELI GROUP","Kings","A",2018-07-06,"11-7 DELI GROUP INC","1632 DEKALB AVENUE","BROOKLYN","NY",11237,"","","1632 DEKALB AVENUE
BROOKLYN, NY 11237
(40.704611, -73.91892)",10053
"55","1102 8TH AVE FOOD OF NY","Kings","A",2018-05-24,"1102 8TH AVE FOOD OF NY CORP","1102 8TH AVE","BROOKLYN","NY",11215,"","","1102 8TH AVE
BROOKLYN, NY 11215
(40.66454, -73.980228)",9755
"56","1105 TINTON DELI GRCY","Bronx","A",2018-11-26,"1105 TINTON DELI GROCERY CORP","1105 TINTON AVE","BRONX","NY",10456,"","","1105 TINTON AVE
BRONX, NY 10456
(40.826607, -73.901498)",6463
"57","1106 FIRST DELI","Richmond","A",2018-10-16,"1106 FIRST DELI CORP","1106 FOREST AVE","STATEN ISLAND","NY",10310,"","","1106 FOREST AVE
STATEN ISLAND, NY 10310
(40.62692, -74.126446)",15414
"58","111 CORONA CANDY STORE","Queens","A",2018-12-11,"111 CORONA CANDY STORE INC","40-01 111TH ST","CORONA","NY",11368,"","","40-01 111TH ST
CORONA, NY 11368
(40.751527, -73.855802)",3881
"59","111 DELI & GRILL","Queens","A",2019-02-28,"111 DELI & GRILL CORP","110-52 SUTPHIN BLVD #","JAMAICA","NY",11435,"","","110-52 SUTPHIN BLVD #
JAMAICA, NY 11435
(40.688768, -73.795692)",27046
"60","111 DELI STOP","Queens","A",2018-12-07,"111 DELI STOP CORP","110-21 NORTHERN BLVD","CORONA","NY",11368,"","","110-21 NORTHERN BLVD
CORONA, NY 11368
(40.757936, -73.859093)",3206
"61","111 FOOD MARKET","Queens","C",2018-12-24,"111 FOOD MARKET CORP","111-01 41ST AVE","CORONA","NY",11368,"03D","- Handwash sink is not provided in the juice and smoothie preparation area.","111-01 41ST AVE
CORONA, NY 11368
(40.750934, -73.855345)",18950
"62","111 FRANKLIN DELI&GRCY","Kings","A",2018-12-27,"111 FRANKLIN DELI&GROCERY CORP","111 FRANKLIN ST","BROOKLYN","NY",11222,"","","111 FRANKLIN ST
BROOKLYN, NY 11222
(40.729759, -73.957591)",9589
"63","1113 SUPER DISCOUNT 8","Kings","A",2018-05-14,"1113 SUPER DISCOUNT 8 INC","1113 BRIGHTON BEACH AVE","BROOKLYN","NY",11235,"","","1113 BRIGHTON BEACH AVE
BROOKLYN, NY 11235
(40.577858, -73.956265)",9614
"64","112 GULF","Suffolk","A",2018-06-29,"SANT BABA KARMJOT CORP","3417 RT 112","MEDFORD","NY",11763,"","","3417 RT 112
MEDFORD, NY 11763
(40.846747, -72.997181)",5503
"65","1132 CONVENIENCE","Westchester","A",2019-01-16,"1132 CONVENIENCE CORP","1132 YONKERS AVE","YONKERS","NY",10704,"","","1132 YONKERS AVE
YONKERS, NY 10704
(40.913618, -73.854649)",18531
"66","114 PLAZA DELI","Westchester","A",2018-11-26,"114 PLAZA DELI CORP","114 E PROSPECT AVE","MOUNT VERNON","NY",10550,"","","114 E PROSPECT AVE
MOUNT VERNON, NY 10550
(40.913185, -73.83317)",18601
"67","1150 WEBSTER PHARMACY I","Bronx","A",2018-07-26,"1150 WEBSTER PHARMACY INC","1150 WEBSTER AVENUE","BRONX","NY",10456,"","","1150 WEBSTER AVENUE
BRONX, NY 10456
(40.830425, -73.91063)",6583
"68","1154 NP MINIMART","Kings","C",2018-04-05,"1154 NP MINIMART INC","1154 CONEY ISLAND AVE","BROOKLYN","NY",11230,"04G","ERROR: #NAME?","1154 CONEY ISLAND AVE
BROOKLYN, NY 11230
(40.629292, -73.966095)",2454
"69","1158 GROCERY & DELI","Bronx","A",2018-04-19,"1158 GROCERY & DELI INC","1158 ST LAWRENCE AVE","BRONX","NY",10472,"","","1158 ST LAWRENCE AVE
BRONX, NY 10472
(40.829105, -73.866678)",6074
"70","116 DISCOUNT","New York","A",2018-06-05,"116 DISCOUNT INC","64-68 E 116TH ST","NEW YORK","NY",10029,"","","64-68 E 116TH ST
NEW YORK, NY 10029
(40.799729, -73.944226)",13154
"71","116 ROCKAWAY PARK STNRS","Queens","A",2018-04-09,"116 ROCKAWAY PARK STATIONERS INC","206 BEACH 116TH ST","ROCKAWAY PARK","NY",11694,"","","206 BEACH 116TH ST
ROCKAWAY PARK, NY 11694
(40.580097, -73.83728)",16050
"72","116 STREET MARINI DELI","New York","A",2018-12-04,"116 STREET MARINI DELI GROCERY CO","1869A LEXINGTON AVE","NEW YORK","NY",10029,"","","1869A LEXINGTON AVE
NEW YORK, NY 10029
(40.798405, -73.941784)",13290
"73","1164 MONTAUK GAS INC","Suffolk","A",2018-08-15,"1164 MONTAUK GAS INC","1164 MONTAUK HWY","PATCHOGUE","NY",11772,"","","1164 MONTAUK HWY
PATCHOGUE, NY 11772
(40.769164, -72.971512)",16151
"74","116TH STREET FOOD","New York","A",2018-10-31,"116TH STREET FOOD FOR LESS INC","108 E 116TH ST","NEW YORK","NY",10029,"","","108 E 116TH ST
NEW YORK, NY 10029
(40.799061, -73.942645)",13344
"75","117-06 MERRICK BLVD GRO","Queens","A",2019-01-07,"117-06 MERRICK BLVD GROCERY CORP","117-06 MERRICK BLVD","JAMAICA","NY",11434,"","","117-06 MERRICK BLVD
JAMAICA, NY 11434
(40.686806, -73.774684)",3224
"76","1172 GROCERY","Suffolk","A",2018-03-23,"1172 GROCERY CORP","1172 W MAIN ST","RIVERHEAD","NY",11901,"","","1172 W MAIN ST
RIVERHEAD, NY 11901
(40.915646, -72.688461)",16968
"77","118-07 ALEXANDER DELI G","Queens","A",2018-08-20,"118-07 ALEXANDER DELI GROCERY COR","118-07 SUTPHIN BLVD","JAMAICA","NY",11434,"","","118-07 SUTPHIN BLVD
JAMAICA, NY 11434
(40.679505, -73.791788)",3444
"78","119 A R GROCERY","New York","A",2018-04-19,"119 A R GROCERY CORP","119 ELLWOOD ST","NEW YORK","NY",10040,"","","119 ELLWOOD ST
NEW YORK, NY 10040
(40.861392, -73.92916)",12318
"79","11TH AVE FOOD CTR OF NY","Kings","A",2018-09-26,"11TH AVE FOOD CENTER OF NY INC","5901 11TH AVE","BROOKLYN","NY",11219,"","","5901 11TH AVE
BROOKLYN, NY 11219
(40.632006, -74.002434)",9860
"80","12 ST GOURMET DELI","Queens","A",2018-12-11,"12 ST GOURMET DELI INC","1203 40TH AVE","LONG ISLAND CITY","NY",11101,"","","1203 40TH AVE
LONG ISLAND CITY, NY 11101
(40.755953, -73.942627)",15332
"81","120 CIRCLE DELI GROCERY","Bronx","C",2018-10-02,"120 CIRCLE DELI GROCERY INC","120 HUGU GRANT CIRCLE","BRONX","NY",10472,"04H","- Equipment cleaning or sanitizing facilities for deli service area are inadequate as follows: faucet fails to reach all three basins of equipment wash sink.","120 HUGU GRANT CIRCLE
BRONX, NY 10472
(40.832689, -73.861145)",24557
"82","120 KING PRODUCE","Queens","C",2019-01-09,"120 KING PRODUCE INC","120-01 LIBERTY AVE","SOUTH RICHMOND HIL","NY",11419,"04A","Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","120-01 LIBERTY AVE
SOUTH RICHMOND HIL, NY 11419
(40.686694, -73.822998)",3486
"83","1201 DELI & GRILL","Kings","A",2018-07-11,"1201 DELI & GRILL INC","1201 AVE U","BROOKLYN","NY",11229,"","","1201 AVE U
BROOKLYN, NY 11229
(40.598436, -73.960042)",3181
"84","1208 MARKET & DELI","Kings","B",2019-01-17,"1208 MARKET & DELI INC","1208 NOSTRAND AVE","BROOKLYN","NY",11225,"04A","Food contact equipment, utensils or conveyances for potentially hazardous foods:  contact surfaces unclean or not properly sanitized and likely to contribute to contamination","1208 NOSTRAND AVE
BROOKLYN, NY 11225
(40.657717, -73.950326)",9546
"85","121 CONVENIENCE DELI","New York","C",2019-03-13,"121 CONVENIENCE DELI CORP","121 WEST 116TH ST #","NEW YORK","NY",10026,"04F","- 20-30 fresh and old appearing mouse droppings are present on rear storage area floor corner.","121 WEST 116TH ST #
NEW YORK, NY 10026
(40.802476, -73.950752)",24668
"86","121 LENOX GOURMET DELI","New York","A",2018-06-14,"LENOX GOURMET DELI&GRCY CORP","217 MALCOLM X BLVD","NEW YORK","NY",10027,"","","217 MALCOLM X BLVD
NEW YORK, NY 10027
(40.805089, -73.947539)",14436
"87","121 NEW YORK DELI GROCE","New York","A",2019-03-18,"121 NEW YORK DELI GROCERY CORP","1993 LEXINGTON AVE","NEW YORK","NY",10035,"","","1993 LEXINGTON AVE
NEW YORK, NY 10035
(40.802102, -73.939073)",21365
"88","1217 GUZMAN DELI FOOD","Bronx","A",2019-02-25,"1217 GUZMAN DELI FOOD CORP","1217 SHERMAN AVENUE #","BRONX","NY",10456,"","","1217 SHERMAN AVENUE #
BRONX, NY 10456
(40.834028, -73.915743)",19286
"89","122 MEAT MARKET","New York","A",2019-01-18,"122 MEAT MARKET INC","79 ELIZABETH ST","NEW YORK","NY",10013,"","","79 ELIZABETH ST
NEW YORK, NY 10013
(40.717976, -73.99611)",12906
"90","123 FOOD MARKET","Suffolk","C",2019-02-11,"INSHAL ENTERPRISES INC","123 MEDFORD AVE","PATCHOGUE","NY",11772,"03D","-  Handwash sink in food processing/service area is not being used or functioning properly as follows: Handwash sink was inaccessible, blocked by equipment/materials and sink basin was cluttered with various materials. Hot water flow was also shut off by a shut off valve below sink due to a constant leak from tap. Management states repairs will be made for re-inspection follow-up.","123 MEDFORD AVE
PATCHOGUE, NY 11772
(40.770383, -73.007341)",19233
"91","123 MEAT FRUIT & VEGETA","Bronx","A",2018-06-06,"123 MEAT FRUIT & VEGETABLE CORP","123 W KINGSBRIDGE RD","BRONX","NY",10468,"","","123 W KINGSBRIDGE RD
BRONX, NY 10468
(40.86883, -73.902627)",6359
"92","124 S LEXINGTON AVE","Westchester","A",2018-06-20,"124 SOUTH LEXINGTON AVENUE INC","124 S LEXINGTON AVE","WHITE PLAINS","NY",10601,"","","124 S LEXINGTON AVE
WHITE PLAINS, NY 10601
(41.027903, -73.771644)",18146
"93","124-176 MORRIS GROCERY","Bronx","A",2018-03-22,"124-176 MORRIS GROCERY CORP","124 EAST 176TH STREET","BRONX","NY",10453,"","","124 EAST 176TH STREET
BRONX, NY 10453
(40.848095, -73.908915)",5831
"94","1247 DELI","Orange","A",2019-02-15,"1247 DELI INC","124 RENWICK ST","NEWBURGH","NY",12550,"","","124 RENWICK ST
NEWBURGH, NY 12550
(41.494599, -74.013231)",2342
"95","125 W 165 ST GROCERY","Bronx","A",2018-04-25,"125 W 165 ST GROCERY CORP","125 W 165TH ST","BRONX","NY",10452,"","","125 W 165TH ST
BRONX, NY 10452
(40.834279, -73.92806)",6089
"96","1252 DELI GROCERY","New York","A",2018-04-04,"1252 DELI GROCERY CORP","1252 SAINT NICHOLAS AVENUE","NEW YORK","NY",10032,"","","1252 SAINT NICHOLAS AVENUE
NEW YORK, NY 10032
(40.843995, -73.937622)",13034
"97","125TH ST FOOD MART","New York","A",2018-08-23,"125 FOOD MART INC","521 WEST 125TH STREET","NEW YORK","NY",10027,"","","521 WEST 125TH STREET
NEW YORK, NY 10027
(40.814136, -73.956997)",13195
"98","126 CANDY GROCERY","New York","A",2018-06-01,"126 CANDY GROCERY CORP","2359 FREDERICK DOUGLASS BLVD","NEW YORK","NY",10027,"","","2359 FREDERICK DOUGLASS BLVD
NEW YORK, NY 10027
(40.811201, -73.950419)",13073
"99","127 EXPRESS STOP","Queens","A",2018-12-24,"127 EXPRESS STOP INC","127-04 LIBERTY AVE","SOUTH RICHMOND HIL","NY",11419,"","","127-04 LIBERTY AVE
SOUTH RICHMOND HIL, NY 11419
(40.688726, -73.81776)",3767
"100","1271 D & G","Kings","A",2018-12-06,"1271 D & G CORP","1271 RALPH AVE","BROOKLYN","NY",11236,"","","1271 RALPH AVE
BROOKLYN, NY 11236
(40.64552, -73.920031)",9558
"101","1272-1278 ST NICHOLAS A","New York","B",2018-03-26,"1272-1278 ST NICHOLAS AVENUE LLC","1272-1278 ST NICHOLAS AVENUE","NEW YORK","NY",10033,"08A","Potentially hazardous foods are being kept below 135°F during hot-holding (rare roast beef may be served at 130°F or above)","1272-1278 ST NICHOLAS AVENUE
NEW YORK, NY 10033
(40.844759, -73.937068)",27121
"102","128 M DELI & GROCERY","Queens","C",2018-12-06,"128 M DELI & GROCERY INC","128-02 LIBERTY AVE","SOUTH RICHMOND HIL","NY",11419,"04F","-  10-20 fresh appearing mouse droppings are present on floor in the basement storage area.","128-02 LIBERTY AVE
SOUTH RICHMOND HIL, NY 11419
(40.689008, -73.816988)",19660
"103","128 P&L DELI GROCERY","New York","A",2018-09-07,"128 P&L DELI GROCERY CORP","128 AUDUBON AVE","NEW YORK","NY",10032,"","","128 AUDUBON AVE
NEW YORK, NY 10032
(40.842738, -73.936727)",13340
"104","128 T EDGECOMBE DELI","New York","A",2018-07-10,"128 T EDGECOMBE DELI CORP","128 EDGECOMBE AVENUE","NEW YORK","NY",10030,"","","128 EDGECOMBE AVENUE
NEW YORK, NY 10030
(40.820973, -73.945029)",13142
"105","129 POST GROCERY STORE","New York","A",2019-02-07,"BURGOS JUAN R","129 POST AVE","NEW YORK","NY",10034,"","","129 POST AVE
NEW YORK, NY 10034
(40.864675, -73.919736)",13307
"106","1294 NOSTRAND FOOD","Kings","A",2018-06-01,"1294 NOSTRAND FOOD CORP","1294 NOSTRAND AVE","BROOKLYN","NY",11226,"","","1294 NOSTRAND AVE
BROOKLYN, NY 11226
(40.655568, -73.950086)",9413
"107","1296 RIVERA GROCERY","Bronx","A",2018-10-30,"1296 RIVERA GROCERY INC","1296 WALTON AVE","BRONX","NY",10452,"","","1296 WALTON AVE
BRONX, NY 10452
(40.837347, -73.917706)",5113
"108","13 GOLDEN DELI","Richmond","A",2018-07-23,"13 GOLDEN DELI INC","13 TOMPKINS AVE","STATEN ISLAND","NY",10304,"","","13 TOMPKINS AVE
STATEN ISLAND, NY 10304
(40.624221, -74.079398)",15511
